kalian juga tidak banyak membantu terkait dengan jaringan kalian yang terbukti tidak berkualitas .	kalian juga tdk banyak membantu terkait dengan jaringan kalian yang terbukti tdk berkualitas
aku sejak awal tahun , gila bukan ?	akuu dari awal tahunn gila ga sih
selamat malam admin . saya baru isi pulsa k , tiba - tiba pulsa hilang entah kenapa . padahal belum saya lakukan apa - apa . sebel saya .	malam admin saya baru isi pulsa k , tiba2 pulsa ilang entah kenapa . padahal belum saya apa2in . sebel saya
tolong balas dm segera ya admin .	tolong bales dm segera ya min .
kencan bahagia itu makan malam bersama kekasih di kfc bayarnya , kenyangnya dapat , romantisnya dapat , plus dapat cashback . mantap betul , mantap betul , mantap betul .	kencan bahagia itu dinner bareng kekasih di kfc bayarnya , kenyangnya dapet , romantisnya dapet , plus dapat cashback . mantul mantul mantul .
jalurnya perbaiki , aneh kalau jakarta palembang , keluyuran dulu sampai medan .	jalur ny per baiki , aneh kl jakarta pelmbang , kluyuran dl smp medan .
gimana dana ? akun saya sudah hampir sebulan tidak pulih - pulih . berpuluh - puluh spin zonk semua selama sebulan ini .	gmn dana , akun saya sudah mau sebulan tidak pulih2 , berpuluh2 spin zonk semua selama sebulan ini .
halo , mengapa andromax saya sudah diisi tapi tidak bisa buat selancar di dunia maya ? apakah ada yang menyangkut ?	halo kok andromax saya udh di isi tapi ga bs buat selancar di dunia maya ya ? ada nyangkut kah ?
tolong kembalikan dana ke pembeli . ini kesalahan ekspedisinya . kasihan yang beli .	tolong kembalikan dana ke pembeli deh , ini kesalahan ekspedisinya kasian yg beli
untuk sementara ini , cukup itu saja dulu yang saya tanyakan . terima kasih .	untuk sementara ini ckup itu aja dlu yg saya tanyakan . thanks
admin . transaksi belum di pick up kurir terus - menerus sudah hari . bisa bantu percepat ?	min transaksi belum dipick up kurir terus sudah hari . bisa bantu percepat ?
applikasi brimo tidak bisa dibuka lagi admin . apakah harus uninstall terus download baru bisa lagi ?	applikasi brimo gak bisa dibukak lagi min , apa harus unistal trs download baru bisa lagi ?
lagi error ? login auto keluar , mau masuk tidak bisa - bisa .	lagi error yak ? logi auto keluar , mau masup gak bisa2
kuota internet langsung habis kalau buka youtube sama streaming seharian .	kouta internetan langsung habis klu buka youtube sma streaming seharian
kak , indosat baru saja trouble atau bagaimana ya ? mengapa kartu saya tidak ada sinyal ?	kak indosat baru troble ato gmn ya ? kok kartu saya gk ada sinyal
sekarang dm mereka yang berkata kalau pulsa sudah dikembalikan dihapus oleh mereka . begitukah cara mencari uang sekarang ?	skrg dm mereka yg bilang pulsa udh dibalikin dihapus sama mereka . oh gt ya cara nyari uang skrg ?
selama siang admin . saya minta bantuan untuk lacak paket . detil telah saya kirim via dm . terima kasih .	selamat siang min , saya minta bantuan untuk tracking paket . detail telah saya kirim via dm . terimakasih
admin , saya mengisi pulsa menggunakan ovo point mengapa keterangannya server error terus - menerus ?	min ko saya ko isipulsa pake ovopoint server error mulu ya kterangannya ?
halo , kenapa halaman tidak bisa dibuka ? dari kemarin - kemarin loh .	haloo , kenapa halaman nggak bisa dibuka ya ? dari kemaren - kemaren loh .
woi , bagaimana ini , anjing , bangsat , kontol .	woi gmn ini anjing bangsat kontol .
admin , saya mau tanya . kantor bca yang di dalam lippo karawaci bisa untuk cairkan giro tidak ?	min saya mau tanya . kantor bca yg di dalam lippo karawaci bisa u / cairkan giro ga ya ?
admin , tolonglah kuota si gb , tapi kenapa tidak bisa digunakan ?	min tolonglah kuota sy gb , tp knp nggk bsa di gunakan ?
saya tarik saldo dari aplikasi linkaja ke rekening bank bri saya kenapa sampai sekarang masih pending ?	saya tarik saldo dari aplikasi linkaja ke rekening bank bri saya kenapa sampe sekarang masih pending ya ?
alasan kenapa saya butuh uang kaget awkarin , makin mahal aku tidak sanggup kalau begini caranya .	alasan kenapa saya butuh uang kaget awkarin , makin mahal q gasanggup kl gini caranya
mau jajan aset / saham ribu dapat berapa persen ?	mau jajan aset / saham k dapet berapa persen ya ?
sudah gila ! paket gb baru hari sudah habis ! mungkin mesin anda dua tak ? menyedotnya parah betul ! gila , gila !	udeh gila ! paket gb baru hari udah abis ! dua tak kali mesin lu nyedotnya naudzubillah bener ! gila gila !
bayangan kamu , admin penampilannya bagaimana ?	bayangan kamu admin penampilannya kek gimana ?
admin , saya pesan tiket kereta api mengapa tidak bisa buka aplikasi ?	. min saya psen tiket kereta api kok ga bisa buka aplikasi ya ?
iya , budjana kan ? dewa budjana gitaris gigi bukan ?	iya buja kan ? dewa buja gitaris gigi bukan ?
terima kasih atas responsnya . sudah saya info via dm .	terima kasih atas responnya . sudah saya info via dm .
jawabannya a . asuransi . ikutan ayo selesai follow semua media sosial .	jawaban nya a . asuransi ikutan yuk done follow semua sosmed
berarti kalau tidak di on / off kan dulu airplane modenya tetap pakai kuota regular ?	berarti kalo ga di on / off kan dulu airplane mode nya tetep pake kuota reguler gitu ?
karena panik , ingat setahun yang lalu .	gara2 panik inget setaun yg lalu
iya , makanya malas komplain . hahaha .	iya makanya ra males komplain wkwk
malam , koneksi telkomsel semakin lama semakin buruk bukan membaik , sudah seminggu lebih seperti ini , jadi bagaimana solusi terbaik ?	malam , koneksi telkomsel semakin lama semakin buruk bukan membaik , sudah seminggu lebih seperti ini , jadi gmn solusi terbaik ?
saya biasa melacak dari web jne , tetapi resi saya yang ini statusnya tidak berubah - ubah .	saya biasa tracking dri web jne . tp resi saya yg ini statusnya gak update2 .
iya . bahaya kalau ditagih nanti di akhirat hahaha .	yoi . bahayaa kalo ditagih entar diakhirat wkwkwkwkwkwk
terima kasih admin sudah perhatian sekali .	makasi loh min sudah perhatian sekali
mengapa menggunakan shopee express , katanya jam sampai . namun mengapa belum sampai hingga sekarang ?	kok pake shopee eress katanya jam sampai tapi kok belum sampai sampai ya
aku tidak paham , ingin beli paket tetapi dikatakan pulsa tidak cukup .	aku ga paham , mau beli paket dibilang pulsa ga cukup
halo admin , saya ingin ganti nomor hp kenapa tidak bisa ?	hi admin , saya mau ganti no hp kok gak bisa ya ?
oke , siap , pantas di tunggu belum masuk - masuk hahaha .	oke siap pantes di tungguin blm msk msk wkwkwk
admin . apakah jaringan indosat daerah kebalen jakarta selatan sedang gangguan ? tidak bisa push rank .	min jaringan indosat daerah kebalen jaksel lagi ngaco apa gimana nih ? gabisa push rank nih
sama . http error terus katanya .	sama nih . http eror terus katanya .
ok ana , lebih baik kalau tokopedia punya sertifikat penjual , sehingga penjual - penjual tidak bisa seenaknya memperlakukan pelanggan .	oke ana , better kalau tokopedia punya certificate penjual . jadi penjual2 gak bisa seenaknya memperlakukan pelanggan .
halo kak . mohon dibantu untuk input resi manual nomor transaksi karena menggunakan ekspedisi yang berbeda . terlampir fisik resi kiriman . terima kasih .	halo kak , mohon dibantu untuk input resi manual no transaksi , karena menggunakan ekspedisi yg berbeda . ( terlampir fisik resi kiriman ) trims
saya tunggu respon disini , segera ! sebelum dapat jawaban saya retweet simultan supaya ingat !	sy tunggu responnya disini , segera ! sblm dpt jwban sy retweet simultan biar inget !
maaf , apakah memang lagi gangguan ? mulai tadi tidak bisa cek dan beli kuota .	maaf memang lg gangguan ya ? mulai td gak bisa cek & beli kuota .
ini mengapa tarik tunai tiba - tiba minta ganti pin ?	ini kok taril tunai tiba2 minta ganti pin
beli token listrik admin , karena sudah mau habis .	beli token listrik min , udah mau abis soalnya
enak tahu . mengapa bisa bilang matchanya gulu - gulu tidak enak ?	ih enak tauu , kok bisa sih bilang matcha nya gulu gulu ha enak
bagaimana kelanjutan untuk nomor tiket laporan ?	untuk no tiket laporan bagaimana kelanjutannya ?
admin . jika ingin downgrade paket halo kick , apakah bisa dibantu ?	min , kalo mau down grade paket halo kick bisa di bantu gak ?
indosat mengapa ? kartu saya padahal ada kuotanya , tetapi tidak bisa digunakan . menghubungkan terus - menerus . bagaimana ?	ini indosat kenapa si , kartu saya pdhl ada kuotanya tp gabisa dipake , menghubungkan terus gmna nih ?
saya mau tanya , ini saya mau beli paket yellow kenapa sama tidak direspons / tidak dibalas ?	saya mau tanya , ini saya mau beli paket yellow kenapa sama tidak direspon / tidak dibalas
halo admin , saya mau daftar kartu tapi tidak bisa - bisa . pakai segala nik tetap tidak bisa . coba daftar online tidak dapat sms .	halo admin , saya mau regis kartu tapi ga bisa2 , pake segala nik tetep ga bisa , nyoba regis online ga dapet sms
kak , saya barusan dm , tolong dicek .	kaak saya barusan dm , tolong dicek ya .
halo ka . apakah masih bisa untuk menjadi mitra grab ?	hallo ka , apakah masih bisa untuk menjadi mintra grab ?
saya tidak bisa aktivasi ovo . padahal , sudah ditingkatkan .	saya gak bisa aktivasi ovo padahal sudah di upgrade
bukan cdma ini . saya coba dulu .	bukan cdma ini . saya coba dulu ya
apakah ovo transfer antar ovo lain error admin ?	ovo transfer antar ovo lain error ya min ?
saldo grab dan ovo kan sudah menyatu sekarang .	saldo grab dan ovo kan udah nyatu sekarang .
mohon di follow up jt , sudah hari tidak gerak - gerak .	mohon di fu jt udah hari gk gerak gerak
admin , mengapa aku terpotong pulsa saat dapat bonus g ? aneh .	min aneh lohh , kenapa ya aku kepotong pulsa pas dpt bonus g ?
tolong admin dikasih bonus untuk masnya .	tolong min dikasih bonus buat masnya
ini paket mengapa gagal kirim admin ?	ni paket napa gagal kirim min ?
pagi admin . paket saya dari shopee dengan kode r04b tidak terbaca nomor resinya . mohon dibantu . dari hari jumat masih mengendap di jne malang .	pagi admin , paket saya dari shopee dengan kode r04b tidak kebaca nomor resinya , mohon dibantu ya . dari hari jumat masih ngendep di jne malang
kenapa saya mau berhenti paket bundling harus menunggu hari ? ini namanya memaksa saya harus menggunakan / membayar !	saya kok mau berenti paket bundling harus menunggu hari . ini namanya maksa saya harus gunakan / bayar !
saya sudah upgrade gopay . sudah sebulan masih di aplikasi dokumen kamu sedang diupload terus . gimana solusinya ?	saya udah upgrade gopay , ud sebulan masih aja di aplikasi dokumen kamu sedang diupload terus , gimana nih solusinua
ini kenapa balik lagi admin ?	ini kok mbalik lg knp ya min
admin , biaya transfer ke bank gratis . namun , apakah ada kuota maksimal setiap bulannya ?	min , biaya transfer ke bank free terus apa ada jatah maksimal tiap bulannya ?
halo xl . saya mau lapor untuk tujuan pemblokiran nomor handphone yang dipakai untuk menipu . bagaimana caranya ? surat polisi sudah siap .	halo xl , saya mau lapor untuk tujuan pemblokiran nomor handphone yang dipakai untuk menipu , bagaimana caranya ? surat polisi sudah siap
